
2024/05/28 (05:54:19) | ===> btop++ v.1.3.2
2024/05/28 (05:54:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/28 (05:54:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/28 (05:54:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/28 (05:54:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/28 (05:54:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/28 (06:28:28) | ===> btop++ v.1.3.2
2024/05/28 (06:28:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/28 (06:28:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/28 (06:28:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/28 (06:28:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/28 (06:28:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/30 (14:08:32) | ===> btop++ v.1.3.2
2024/06/30 (14:08:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (18:36:55) | ===> btop++ v.1.3.2
2024/06/30 (18:36:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (18:37:24) | ===> btop++ v.1.3.2
2024/06/30 (18:37:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (19:40:56) | ===> btop++ v.1.3.2
2024/06/30 (19:40:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (04:50:34) | ===> btop++ v.1.3.2
2024/07/01 (04:50:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (05:29:20) | ===> btop++ v.1.3.2
2024/07/01 (05:29:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (05:38:20) | ===> btop++ v.1.3.2
2024/07/01 (05:38:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (05:52:48) | ===> btop++ v.1.3.2
2024/07/01 (05:52:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (09:37:29) | ===> btop++ v.1.3.2
2024/07/01 (09:37:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (13:18:25) | ===> btop++ v.1.3.2
2024/07/01 (13:18:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (19:09:55) | ===> btop++ v.1.3.2
2024/07/01 (19:09:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (19:25:01) | ===> btop++ v.1.3.2
2024/07/01 (19:25:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (06:46:16) | ===> btop++ v.1.3.2
2024/07/02 (06:46:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (07:56:33) | ===> btop++ v.1.3.2
2024/07/02 (07:56:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/02 (11:52:44) | ===> btop++ v.1.3.2
2024/07/02 (11:52:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (03:36:26) | ===> btop++ v.1.3.2
2024/07/03 (03:36:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (11:11:06) | ===> btop++ v.1.3.2
2024/07/03 (11:11:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (12:53:24) | ===> btop++ v.1.3.2
2024/07/03 (12:53:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (12:55:17) | ===> btop++ v.1.3.2
2024/07/03 (12:55:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (12:56:51) | ===> btop++ v.1.3.2
2024/07/03 (12:56:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (13:14:51) | ===> btop++ v.1.3.2
2024/07/03 (13:14:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (13:44:12) | ===> btop++ v.1.3.2
